An,Ag,As,q
6.494149414941e-03,1.708847298088e-03,3.655371235381e-02,2.139085943765e+01
6.594059405941e-03,1.735137256520e-03,3.683214046493e-02,2.122722010983e+01
6.693969396940e-03,1.761427214953e-03,3.710835926350e-02,2.106721126396e+01
6.793879387939e-03,1.787717173385e-03,3.738242112675e-02,2.091070203011e+01
6.893789378938e-03,1.814007131817e-03,3.765437647812e-02,2.075756804793e+01
6.993699369937e-03,1.840297090249e-03,3.792427388646e-02,2.060769105565e+01
7.093609360936e-03,1.866587048681e-03,3.819216015893e-02,2.046095851030e+01
7.193519351935e-03,1.892877007113e-03,3.845808042806e-02,2.031726323662e+01
7.293429342934e-03,1.919166965545e-03,3.872207823333e-02,2.017650310187e+01
7.393339333933e-03,1.945456923977e-03,3.898419559778e-02,2.003858071454e+01
7.493249324932e-03,1.971746882410e-03,3.924447309994e-02,1.990340314472e+01
7.593159315932e-03,1.998036840842e-03,3.950294994150e-02,1.977088166446e+01
7.693069306931e-03,2.024326799274e-03,3.975966401095e-02,1.964093150632e+01
7.792979297930e-03,2.050616757706e-03,4.001465194351e-02,1.951347163878e+01
7.892889288929e-03,2.076906716138e-03,4.026794917762e-02,1.938842455693e+01
7.992799279928e-03,2.103196674570e-03,4.051959000823e-02,1.926571608740e+01
8.092709270927e-03,2.129486633002e-03,4.076960763706e-02,1.914527520634e+01
8.192619261926e-03,2.155776591434e-03,4.101803422012e-02,1.902703386942e+01
8.292529252925e-03,2.182066549867e-03,4.126490091256e-02,1.891092685284e+01
8.392439243924e-03,2.208356508299e-03,4.151023791116e-02,1.879689160476e+01
8.492349234923e-03,2.234646466731e-03,4.175407449451e-02,1.868486810605e+01
8.592259225923e-03,2.260936425163e-03,4.199643906104e-02,1.857479873987e+01
8.692169216922e-03,2.287226383595e-03,4.223735916512e-02,1.846662816941e+01
8.792079207921e-03,2.313516342027e-03,4.247686155123e-02,1.836030322311e+01
8.891989198920e-03,2.339806300459e-03,4.271497218643e-02,1.825577278685e+01
8.991899189919e-03,2.366096258891e-03,4.295171629116e-02,1.815298770274e+01
9.091809180918e-03,2.392386217324e-03,4.318711836851e-02,1.805190067381e+01
9.191719171917e-03,2.418676175756e-03,4.342120223202e-02,1.795246617437e+01
9.291629162916e-03,2.444966134188e-03,4.365399103217e-02,1.785464036567e+01
9.391539153915e-03,2.471256092620e-03,4.388550728152e-02,1.775838101627e+01
9.491449144914e-03,2.497546051052e-03,4.411577287870e-02,1.766364742709e+01
9.591359135914e-03,2.523836009484e-03,4.434480913122e-02,1.757040036063e+01
9.691269126913e-03,2.550125967916e-03,4.457263677723e-02,1.747860197418e+01
9.791179117912e-03,2.576415926348e-03,4.479927600627e-02,1.738821575667e+01
9.891089108911e-03,2.602705884781e-03,4.502474647908e-02,1.729920646907e+01
9.990999099910e-03,2.628995843213e-03,4.524906734643e-02,1.721154008792e+01
1.009090909091e-02,2.655285801645e-03,4.547225726722e-02,1.712518375199e+01
1.019081908191e-02,2.681575760077e-03,4.569433442568e-02,1.704010571171e+01
1.029072907291e-02,2.707865718509e-03,4.591531654781e-02,1.695627528129e+01
1.039063906391e-02,2.734155676941e-03,4.613522091719e-02,1.687366279334e+01
1.049054905491e-02,2.760445635373e-03,4.635406438997e-02,1.679223955581e+01
1.059045904590e-02,2.786735593805e-03,4.657186340934e-02,1.671197781119e+01
1.069036903690e-02,2.813025552238e-03,4.678863401930e-02,1.663285069774e+01
1.079027902790e-02,2.839315510670e-03,4.700439187787e-02,1.655483221263e+01
1.089018901890e-02,2.865605469102e-03,4.721915226977e-02,1.647789717702e+01
1.099009900990e-02,2.891895427534e-03,4.743293011856e-02,1.640202120276e+01
1.109000900090e-02,2.918185385966e-03,4.764573999827e-02,1.632718066076e+01
1.118991899190e-02,2.944475344398e-03,4.785759614455e-02,1.625335265096e+01
1.128982898290e-02,2.970765302830e-03,4.806851246542e-02,1.618051497357e+01
1.138973897390e-02,2.997055261262e-03,4.827850255151e-02,1.610864610190e+01
1.148964896490e-02,3.023345219695e-03,4.848757968599e-02,1.603772515627e+01
1.158955895590e-02,3.049635178127e-03,4.869575685401e-02,1.596773187930e+01
1.168946894689e-02,3.075925136559e-03,4.890304675184e-02,1.589864661223e+01
1.178937893789e-02,3.102215094991e-03,4.910946179563e-02,1.583045027243e+01
